학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,1학기,대학,생명과학과,BIO1101,04,일반생물학I,조회,3.0,"화,목 12:00~13:15 [K306]",3.0,김건수,37,,,,,,,,,,전학년,1학년,생명과학과(1전공 불가능),,*(생명전용반)생명과학 제1전공만 수강가능
2023 학년도,1학기,대학,생명과학과,BIO1101,05,일반생물학I,조회,3.0,"화,목 13:30~14:45 [K305]",3.0,이규호,40,,,,,,,,,,전학년,1학년,생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가
2023 학년도,1학기,대학,생명과학과,BIO1105,01,일반생물학실험I,조회,1.0,월 13:30~16:15 [K213],3.0,"Lee, Hosuk Sean",16,O,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,02,일반생물학실험I,조회,1.0,월 16:30~19:15 [K213],3.0,"Lee, Hosuk Sean",16,O,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,03,일반생물학실험I,조회,1.0,화 13:30~16:15 [K213],3.0,주봉건,16,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,04,일반생물학실험I,조회,1.0,화 16:30~19:15 [K213],3.0,이규호,16,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,05,일반생물학실험I,조회,1.0,수 13:30~16:15 [K213],3.0,김종찬,16,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,06,일반생물학실험I,조회,1.0,수 16:30~19:15 [K213],3.0,김정호,8,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,07,일반생물학실험I,조회,1.0,목 13:30~16:15 [K213],3.0,서미정,12,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,08,일반생물학실험I,조회,1.0,목 16:30~19:15 [K213],3.0,정광환,16,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,09,일반생물학실험I,조회,1.0,금 13:30~16:15 [K213],3.0,이정하,16,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO1105,10,일반생물학실험I,조회,1.0,금 16:30~19:15 [K213],3.0,김정호,11,,,,,,,,,,전학년,1학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO2121,01,현대생물학실험I,조회,3.0,월 13:30~18:20 [R204],5.0,신형두,16,,,,,,,,,,"2,3,4학년",2학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO2121,02,현대생물학실험I,조회,3.0,화 13:30~18:20 [R204],5.0,이정하,15,,,,,,,,,,"2,3,4학년",2학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO2121,03,현대생물학실험I,조회,3.0,수 13:30~18:20 [R204],5.0,이갑열,16,,,,,,,,,,"2,3,4학년",2학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO2121,04,현대생물학실험I,조회,3.0,목 13:30~18:20 [R204],5.0,허진영,16,,,,,,,,,,"2,3,4학년",2학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO2131,01,생화학I,조회,3.0,"수,금 09:00~10:15 [K303]",3.0,정광환,69,,,,,,,,,,전학년,2학년,,,
2023 학년도,1학기,대학,생명과학과,BIO2141,01,세포학,조회,3.0,"화,목 09:00~10:15 [K212]",3.0,이갑열,66,,,,,,,,,,전학년,2학년,,,
2023 학년도,1학기,대학,생명과학과,BIO2311,01,생명유기화학,조회,3.0,"월,수 12:00~13:15 [K208]",3.0,서미정,43,,,,,,,,,,전학년,2학년,,,
2023 학년도,1학기,대학,생명과학과,BIO2601,01,유전자클로닝개론,조회,3.0,"수,금 09:00~10:15 [K212]",3.0,김정호,50,,,,,,,,,,전학년,2학년,,,
2023 학년도,1학기,대학,생명과학과,BIO3123,01,현대생물학실험III,조회,3.0,월 13:30~18:20 [R210],5.0,김건수,16,,,,,,,,,,"2,3,4학년",3학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO3123,02,현대생물학실험III,조회,3.0,화 13:30~18:20 [R210],5.0,이병하,13,,,,,,,,,,"2,3,4학년",3학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO3123,03,현대생물학실험III,조회,3.0,수 13:30~18:20 [R210],5.0,정광환,15,,,,,,,,,,"2,3,4학년",3학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO3123,04,현대생물학실험III,조회,3.0,목 13:30~18:20 [R210],5.0,주봉건,12,,,,,,,,,,"2,3,4학년",3학년,,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능)
2023 학년도,1학기,대학,생명과학과,BIO3212,01,생명공학개론,조회,3.0,"화,목 10:30~11:45 [K405]",3.0,"Lee, Hosuk Sean",50,O,,,,,,,,,전학년,3-4학년,,,
