학과,과목번호,과목명,학점,권장학년,수강신청 참조사항,과목 설명
바이오융합기술 연계전공,BNTG031,지식재산권과특허,3.0,"[3, 4]",,"대학원초급과목,구BNT5031"
화공생명공학과,CBE2002,창의설계,3.0,[1],,
화공생명공학과,CBE2003,화공생명공학양론,3.0,[2],,
화공생명공학과,CBE2004,화공물리화학,3.0,[2],화학과(불가능),구)물리화학
화공생명공학과,CBE2005,화공유기화학,3.0,[2],화학과(불가능),구)응용유기화학
화공생명공학과,CBE2006,응용생물학,3.0,[1],,"(구)42-032,2010학번부터(비인증대상) 전공과목 인정안됨"
화공생명공학과,CBE2007,화공생화학,3.0,[2],,구)응용생화학
화공생명공학과,CBE2010,화공생명공학실험Ⅰ,3.0,"[2, 3, 4]",,
화공생명공학과,CBE2011,화공수학I,3.0,"[1, 2, 3, 4]",화공생명공학과(가능),화공생명공학전공 학생만 수강 가능
화공생명공학과,CBE2012,화공수학II,3.0,"[1, 2, 3, 4]",,"화공전공자만 수강가능, 선수과목 : STS2006 미적분학II, CBE2011 화공수학I(또는 MAT2410 응용수학I)"
화공생명공학과,CBE2014,화공기초화학Ⅰ,3.0,[1],화공생명공학과(가능),구)공업화학Ⅰ
화공생명공학과,CBE2015,화공기초화학Ⅱ,3.0,"[1, 2, 3, 4]",,구)공업화학Ⅱ
화공생명공학과,CBE2016,기초 전산화학공학,3.0,"[2, 3, 4]",,구)프로그래밍언어기초(CBE2013)
화공생명공학과,CBE3001,화공열역학,3.0,[2],,
화공생명공학과,CBE3002,공정열역학,3.0,[3],,선수과목 : CBE3001 화공열역학
화공생명공학과,CBE3003,반응공학,3.0,[3],,선수과목 : CBE2002 창의설계
화공생명공학과,CBE3004,화공유체역학,3.0,[3],화공생명공학과(가능),선수과목 : CBE2011 화공수학I(또는 MAT2410 응용수학I)
화공생명공학과,CBE3005,열및물질전달,3.0,[3],,
화공생명공학과,CBE3006,공정제어,3.0,[3],,
화공생명공학과,CBE3007,고분자공학,3.0,[3],,"선수과목 : CBE2002 창의설계, CBE2005 응용유기화학"
화공생명공학과,CBE3008,고분자물성,3.0,[3],,
화공생명공학과,CBE3010,양자화학,3.0,[3],,
화공생명공학과,CBE3013,응용분자생물학,3.0,[3],,선수과목 : CBE2007 응용생화학
화공생명공학과,CBE3014,유전공학,3.0,[3],,(생명과학전공 학생 수강 불가)
화공생명공학과,CBE3017,화공생명공학실험Ⅱ,3.0,"[3, 4]",,
화공생명공학과,CBE3019,화공생명공학 세미나,2.0,[3],,(구)화공산업과기술경영-기업가정신
화공생명공학과,CBE3301,연구프로젝트Ⅰ,3.0,"[3, 4]",,
화공생명공학과,CBE3302,연구프로젝트Ⅱ,3.0,"[3, 4]",,
화공생명공학과,CBE3303,연구프로젝트Ⅲ,3.0,"[3, 4]",,
화공생명공학과,CBE3304,연구프로젝트Ⅳ,3.0,"[3, 4]",,
화공생명공학과,CBE4001,화공생명공학심화종합설계Ⅱ(캡스톤디자인),3.0,[4],,"(구)화공생명공학심화설계 선수과목:CBE2002,CBE2010,CBE3003,CBE3007,CBE3017"
화공생명공학과,CBE4004,분리정제공정,3.0,[4],,선수과목 : CBE2002 창의설계
화공생명공학과,CBE4005,촉매공학,3.0,[3],,선수과목 : CBE3003 반응공학
화공생명공학과,CBE4010,화공재료,3.0,[4],,
화공생명공학과,CBE4011,전기화학,3.0,"[3, 4]",,
화공생명공학과,CBE4012,환경공학,3.0,[3],,
화공생명공학과,CBE4013,생물화학공학,3.0,[3],,선수과목 : CBE2002 창의설계
화공생명공학과,CBE4017,화공생명공학심화종합설계Ⅰ,3.0,[4],,선수과목 : CBE2002 창의설계
화공생명공학과,CBE4018,산업미생물공학,3.0,"[1, 2, 3, 4]",,
화공생명공학과,CBE4019,기능성고분자화학,3.0,"[3, 4]",,
화공생명공학과,CBE4020,에너지공학,3.0,"[3, 4]",,
화공생명공학과,CBE4022,인공지능:딥러닝,3.0,"[3, 4]",,
화공생명공학과,CBE4100,인턴쉽I,3.0,"[3, 4]",,과목평가:S/U
화공생명공학과,CBEG007,고급화공수학,3.0,"[3, 4]",,
화공생명공학과,CBEG008,고급분리막기술,3.0,"[3, 4]",,
화공생명공학과,CBEG009,발효공학,3.0,"[3, 4]",,
화공생명공학과,CBEG011,전자재료공학,3.0,"[3, 4]",,
화공생명공학과,CBEG015,반도체공정,3.0,"[3, 4]",,구)반도체공정(CBE4008)
화공생명공학과,CBEG016,결정화공정,3.0,[3],,
화공생명공학과,CBEG017,생물물리학,3.0,"[3, 4]",,
중국문화학과,CHI2001,전공기초중국어1,3.0,"[1, 2]",,
중국문화학과,CHI2002,전공기초중국어2,3.0,"[1, 2]",,
중국문화학과,CHI2003,기초한문,3.0,"[1, 2]",,
중국문화학과,CHI2004,중국문화의이해,3.0,"[1, 2]",,
중국문화학과,CHI2006,"오늘의중국,중국인",3.0,"[1, 2]",,
중국문화학과,CHI2007,중국문학의세계,3.0,"[1, 2]",,구)중국문학입문
중국문화학과,CHI3001,중국어회화1(중국어강의),3.0,"[2, 3, 4]",,중국어강의
중국문화학과,CHI3002,중국어작문1,3.0,"[2, 3, 4]",,
중국문화학과,CHI3003,중국어3,3.0,"[2, 3, 4]",,
중국문화학과,CHI3005,고급중국어,3.0,"[2, 3, 4]",,
중국문화학과,CHI3006,중국시사,3.0,"[2, 3, 4]",,구 신문과뉴스
중국문화학과,CHI3007,중국어회화2(중국어강의),3.0,"[1, 2, 3, 4]",,
중국문화학과,CHI3008,중국어작문2(중국어강의),3.0,"[2, 3, 4]",,
중국문화학과,CHI3009,빅데이터와문화트렌드(캡스톤디자인),3.0,"[2, 3, 4]",,"구)스크린중국어, 구)빅데이터로본중국사회"
중국문화학과,CHI3011,중국고전시의세계,3.0,"[2, 3, 4]",,
중국문화학과,CHI3012,중국신화와내러티브,3.0,"[2, 3, 4]",,
중국문화학과,CHI3013,중국의공연예술,3.0,"[2, 3, 4]",,
중국문화학과,CHI3014,중국고전명문,3.0,"[2, 3, 4]",,(구) 중국고전명문산책
중국문화학과,CHI3015,현대중국문학의이해,3.0,"[2, 3, 4]",,구 중국의 현대와 문
중국문화학과,CHI3017,중국어문법의이해,3.0,"[2, 3, 4]",,
중국문화학과,CHI3018,중국언어의이해,3.0,"[1, 2, 3, 4]",,
중국문화학과,CHI3019,중국언어로보는중국문화,3.0,"[2, 3, 4]",,
중국문화학과,CHI3020,한자로읽는중국문화코드,3.0,"[2, 3, 4]",,(구) 한자와 중국문
중국문화학과,CHI3022,대만사회변천과문화트렌드(중국어강의),3.0,"[2, 3, 4]",,(구)중국인의세계관 / (구)당대대만 / (구)대만사회와문화
중국문화학과,CHI3024,중화권문화콘텐츠,3.0,"[2, 3, 4]",,구)중화권세계의이해 구)중화권지역문화
중국문화학과,CHI3025,영화와현대중국,3.0,"[2, 3, 4]",,
중국문화학과,CHI3026,중국의대중문화,3.0,"[2, 3, 4]",,
중국문화학과,CHI3028,사서와현대인의수양,3.0,"[1, 2, 3, 4]",,
중국문화학과,CHI3040,전공진로설계Ⅰ,,"[2, 3, 4]",,
중국문화학과,CHI4002,제자백가의이해,3.0,"[3, 4]",,구 제자강독
중국문화학과,CHI4005,중국문학주제특강(중국어강의),3.0,"[3, 4]",,
중국문화학과,CHI4007,중국어통번역,3.0,"[3, 4]",,
중국문화학과,CHI4008,무역중국어,3.0,"[3, 4]",,
중국문화학과,CHI4009,중국미디어와도시,3.0,"[3, 4]",,구 중국문화사례분석연습
중국문화학과,CHI4012,현대중국:구조와쟁점,3.0,"[3, 4]",,구 한중문화산업과문화콘텐츠
중국문화학과,CHI4014,글로벌라이제이션과중국,3.0,"[2, 3, 4]",,구 중국문화주제특강(교과목명변경)/세계속의중국문화
중국문화학과,CHI4015,중국진출기업의문화적현지화(캡스톤디자인),3.0,"[1, 2, 3, 4]",,
중국문화학과,CHI4017,문화연구주제특강,3.0,"[2, 3, 4]",,
중국문화학과,CHI4018,인공지능과 중한번역,3.0,"[1, 2, 3, 4]",,
중국문화학과,CHIG009,현대중국연구의방법과쟁점,3.0,"[3, 4]",,
화학과,CHM1001,일반화학I,3.0,[1],화학과(1전공 가능),
화학과,CHM1002,일반화학II,3.0,[1],,
화학과,CHM1051,일반화학실험I,1.0,[1],,
화학과,CHM1052,일반화학실험II,1.0,[1],,
화학과,CHM2101,분석화학,3.0,[2],,
화학과,CHM2102,기기분석,3.0,[3],,
화학과,CHM2151,분석화학실험,2.0,[2],,
화학과,CHM2152,첨단화학기기분석실험,2.0,"[3, 4]",,구)기기분석실험
화학과,CHM2201,물리화학I,3.0,[2],,
화학과,CHM2202,물리화학II,3.0,[3],,
화학과,CHM2203,물리화학III,3.0,[3],,
화학과,CHM2231,물리화학특론,3.0,[4],,
화학과,CHM2251,물리화학실험I,2.0,[3],,
화학과,CHM2252,물리화학실험II,2.0,[3],,
화학과,CHM2301,유기화학I,3.0,[2],,
화학과,CHM2302,유기화학II,3.0,[2],,
화학과,CHM2303,유기화학III,3.0,[3],,
화학과,CHM2331,유기화학특론I,3.0,[4],,
화학과,CHM2332,유기화학특론II,3.0,[4],,
화학과,CHM2351,유기화학실험I,2.0,[2],,
화학과,CHM2352,유기화학실험II,2.0,"[3, 4]",,
화학과,CHM2401,무기화학I,3.0,[3],,
화학과,CHM2402,무기화학II,3.0,[4],,
화학과,CHM2451,무기화학실험,2.0,[4],,
화학과,CHM2501,고분자화학,3.0,"[3, 4]",,
화학과,CHM2601,생화학I,3.0,"[3, 4]",,
화학과,CHM2602,생화학II,3.0,"[3, 4]",,
화학과,CHM2651,생화학실험,2.0,"[2, 3, 4]",,
화학과,CHM3100,전공진로설계Ⅰ,,"[2, 3, 4]",,
화학과,CHM4051,연구프로젝트I,3.0,"[3, 4]",,
화학과,CHM4052,창의적연구프로젝트설계,3.0,[4],,전공과목으로인정되지않음
화학과,CHM4053,화학인공지능기초,3.0,"[3, 4]",,구)산업기술속화학
화학과,CHM4054,화학기기종합설계(캡스톤디자인),3.0,"[3, 4]",,
화학과,CHM4056,화학현장실습I,3.0,"[3, 4]",,"과목평가:S/U, (구)화학산업과인턴쉽1"
화학과,CHM4203,화학특허와기술이전,1.0,[4],,전공학점으로 인정되지 않음.(총학점에는 포함됨)
화학과,CHMG101,고급분석화학,3.0,"[3, 4]",,"대학원초급과목,구CHM5101"
화학과,CHMG201,고급물리화학I,3.0,"[3, 4]",,"대학원초급과목,구CHM5201"
화학과,CHMG301,고급유기화학I,3.0,"[3, 4]",,"대학원초급과목,구CHM5301"
화학과,CHMG302,고급유기화학II,3.0,[4],,"대학원초급과목,구 CHM5302"
화학과,CHMG401,고급무기화학,3.0,[4],,"대학원초급과목,구 CHM5401"
화학과,CHMG501,고급생화학1,3.0,"[3, 4]",,구)고급생화학
화학과,CHMG502,고급생화학2,3.0,[4],,
전인교육원,CHS2001,한국문화와역사,3.0,"[1, 2]",,
전인교육원,CHS2002,현대한국의형성,3.0,"[1, 2]",,
전인교육원,CHS2003,현대동아시아의형성,3.0,"[1, 2]",,
전인교육원,CHS2004,현대서양의형성,3.0,"[1, 2]",,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목
전인교육원,CHS2006,역사란무엇인가,3.0,"[1, 2, 3, 4]",,주의 : 사학과 필수과목(HIS2001)과 다른 과목
전인교육원,CHU4003,한국의기념과기억문화,3.0,"[1, 2, 3, 4]",,
전인교육원,CHU4005,인물로본중국사,3.0,"[1, 2, 3, 4]",,중국문명의역사(CHU4004)의 대체과목
전인교육원,CHU4007,인물로본서양사,3.0,"[1, 2, 3, 4]",,서양문명의역사(CHU4006)의 대체과목
전인교육원,CHU4018,이주의역사,3.0,"[1, 2, 3, 4]",,
전인교육원,CHU4019,인물로본일본사,3.0,"[1, 2, 3, 4]",,
전인교육원,CHU4020,유라시아의문명과교류,2.0,"[1, 2, 3, 4]",,
전인교육원,CHU4021,4차혁명과 인문학,3.0,"[1, 2, 3, 4]",,
전인교육원,CHU4022,이슬람과 서양: 문명교류의 역사,3.0,"[1, 2, 3, 4]",,(구)이슬람과 서양
전인교육원,COR1003,영어글로벌의사소통I,3.0,[1],"자연과학대학(불가능),공과대학(불가능),소프트웨어융합대학(불가능)","구 영어I, 신입생 대다수의 학생이 대상"
전인교육원,COR1005,영어글로벌의사소통I(고급),3.0,[1],,구 영어I(고급)
전인교육원,COR1007,성찰과성장,1.0,[1],,S/U 과목
전인교육원,COR1010,기초인공지능프로그래밍,3.0,[1],"컴퓨터공학과(가능),인공지능학과(가능),소프트웨어융합대학(가능)",컴퓨팅사고력(COR1009) 대체과목
전인교육원,COR1012,인문사회글쓰기,3.0,[1],,읽기와쓰기(COR1001)의 대체과목
전인교육원,COR1013,자연계글쓰기,3.0,[1],,읽기와쓰기(COR1001)의 대체과목
전인교육원,COR1014,한국어글쓰기,3.0,[1],,읽기와쓰기(COR1001)의 대체과목
전인교육원,COR1015,알바트로스세미나,1.0,[1],경제대학(가능),"신입생만 수강가능, 성적평가:S/U"
전인교육원,COR1016,알바트로스세미나(경영),1.0,[1],,
전인교육원,COR1017,알바트로스세미나(인문),1.0,[1],,
전인교육원,COR1018,알바트로스세미나(사회과학),1.0,[1],,
전인교육원,COR1019,알바트로스세미나(경제),1.0,[1],,
전인교육원,COR1020,알바트로스세미나(로욜라국제),1.0,[1],,
전인교육원,COR1021,알바트로스세미나(지식융합미디어),1.0,[1],,
전인교육원,COR1022,알바트로스세미나(수학),1.0,[1],,
전인교육원,COR1023,알바트로스세미나(물리),1.0,[1],,
전인교육원,COR1024,알바트로스세미나(화학),1.0,[1],,
전인교육원,COR1025,알바트로스세미나(생명과학),1.0,[1],,
전인교육원,COR1026,알바트로스세미나(전자),1.0,[1],,
전인교육원,COR1027,알바트로스세미나(화공생명),1.0,[1],,
전인교육원,COR1028,알바트로스세미나(기계),1.0,[1],,
전인교육원,COR1029,알바트로스세미나(컴퓨터),1.0,[1],,
전인교육원,COR1030,알바트로스세미나(인공지능),1.0,[1],,
전인교육원,COR1031,알바트로스세미나(시스템반도체),1.0,[1],,
전인교육원,COR1032,알바트로스세미나(인문학기반 자유전공학부),1.0,[1],,
전인교육원,COR1033,알바트로스세미나(SCIENCE 기반자유전공학부),1.0,[1],,
전인교육원,COR1034,알바트로스세미나(AI기반 자유전공학부),1.0,[1],,
컴퓨터공학과,CSE2003,컴퓨터프로그래밍I,3.0,[1],"컴퓨터공학과(1전공 가능),컴퓨터공학과(1전공 가능),인문학기반자유전공학부(1전공 가능),SCIENCE기반자유전(1전공 가능),AI기반자유전공학부(1전공 가능)",(구)기초공학설계
컴퓨터공학과,CSE2035,컴퓨터프로그래밍II,3.0,[1],,"중핵C언어(STS2008)기수강자,수강신청자모두수강불가,(구)C프로그래밍"
컴퓨터공학과,CSE3006,이산구조,3.0,[1],,
