과목번호,과목명,학년도,학기,분반,강의계획서,요일,시작시간,종료시간,강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,수강대상,비고
MGT4101,경영전략시뮬레이션,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,MA208,3.0,박종훈,20,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4102,경영전략,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,MA208,3.0,박종훈,36,,,,,,,"[1, 2, 3, 4]","경영대학, 스타트업 연계전공(가능)"
MGT4103,조직구조와전략,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,PA201,3.0,김양민,46,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4104,리더쉽이론,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,MA106,3.0,이인석,110,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4105,기업윤리,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,MA106,3.0,장영균,65,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4106,인적자원관리,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,MA102,3.0,양동훈,70,,,,,,,"[1, 2, 3, 4]","경영대학, 공공인재, 스타트업 연계전공(가능)"
MGT4201,의사결정론,2025 학년도,1학기,1,조회,"['수', '금']",15:00,16:15,MA102,3.0,김범수,64,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4202,통계자료분석,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,MA201,3.0,이군희,47,,,,,,,"[1, 2, 3, 4]","경영대학,빅데이터사이언스연계전공(가능)"
MGT4203,경영과학,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,MA406,3.0,김범수,28,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4204,시뮬레이션,2025 학년도,1학기,1,조회,['금'],13:30,16:15,PA203,3.0,정철우,8,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4206,경영환경에서의시계열자료분석과예측(캡스톤디자인),2025 학년도,1학기,1,조회,['월'],13:30,16:15,MA610,3.0,김명석,30,O,,,,,,"[1, 2, 3, 4]","경영대학,빅데이터사이언스연계전공,인공지능연계전공"
MGT4221,경영과정보기술,2025 학년도,1학기,1,조회,['금'],10:30,13:15,MA206,3.0,김아현,75,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4226,빅데이터와 비즈니스 모델,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,MA106,3.0,김진화,65,O,,,,,,"[1, 2, 3, 4]","경영대학, 빅데이터사이언스, 인공지능 연계전공(가능)"
MGT4227,디지털변혁과비즈니스모델혁신,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,PA203,3.0,김용진,19,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4231,인공지능과경영모델,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,MA204,3.0,김진화,87,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4241,기술경영과기술사업화,2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,PA101,3.0,백서현,88,,,,,,,"[2, 3, 4]",경영대학(가능)
MGT4243,경영품질의이해,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,MA104,3.0,강세원,120,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4247,공급체인관리와e-business,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,MA202,3.0,김민균,48,,,,,,,"[1, 2, 3, 4]","경영대학, 스타트업연계전공(가능)"
MGT4248,비즈니스프로세스관리,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,MA106,3.0,이준겸,69,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4301,투자론,2025 학년도,1학기,1,조회,"['수', '금']",15:00,16:15,PA101,3.0,홍광헌,80,,,,,,,"[1, 2, 3, 4]","경영대학,공공인재연계전공(가능)"
MGT4303,파생상품론,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,MA104,3.0,이정진,91,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4307,금융기관론,2025 학년도,1학기,1,조회,"['화', '목']",16:30,17:45,MA102,3.0,이상호,53,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4316,금융위기와 금융산업 혁신,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,MA202,3.0,이상호,51,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4401,중급회계1,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,PA101,3.0,강평경,97,O,,,,,,"[1, 2, 3, 4]","경영대학,공공인재 연계전공(가능)"
MGT4402,중급회계2,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,MA104,3.0,박두리,79,O,,,,,,"[1, 2, 3, 4]","경영대학,공공인재연계전공(가능)"
MGT4403,고급회계,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,MA206,3.0,송민섭,39,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4404,원가회계,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,PA101,3.0,양준선,65,O,,,,,,"[1, 2, 3, 4]","경영대학,공공인재연계전공(가능)"
MGT4407,회계감사,2025 학년도,1학기,1,조회,['월'],13:30,16:15,MA201,3.0,천준범,30,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4501,마케팅전략,2025 학년도,1학기,1,,['월'],13:30,16:15,PA203,3.0,김태민,62,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4503,시장조사론,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,MA102,3.0,박경도,70,O,,,,,,"[1, 2, 3, 4]","경영대학,스타트업연계전공(가능)"
MGT4515,빅데이터기반마케팅과스타트업,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,PA203,3.0,정재학,6,,,,,,,"[1, 2, 3, 4]","경영대학,인공지능연계전공,빅데이터사이언스연계전공(가능)"
MGT4516,인공지능과마케팅,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,MA402,3.0,김주영,14,,,,,,,"[1, 2, 3, 4]","경영대학,인공지능연계전공(가능)"
MGT4601,기업과국제환경,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,MA204,3.0,김유진,75,O,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4604,국제경영전략,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,PA201,3.0,김창수,38,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4605,무역경영관리,2025 학년도,1학기,1,조회,['월'],13:30,16:15,MA202,3.0,손명옥,74,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4616,글로벌 혁신 전략,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,MA204,3.0,강리브가,66,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4718,이해관계자자본주의와ESG,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,PA203,3.0,박영석,37,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4719,서비스 공급망관리와 ESG,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,MA106,3.0,김민균,9,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
MGT4724,해외진출 한국기업의 현지화전략(탐구공동체),2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,MA206,3.0,정선욱,8,,,,,,,"[1, 2, 3, 4]","경영대학(가능)., 8주 수업/1.5학점"
MGTG610,경영 데이터사이언스,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,PA405,3.0,이윤동,12,,,,,,,"[1, 2, 3, 4]","학석사연계과목, 수강신청 변경기간에 전공무관 신청 가능"
MGTG707,ESG 세미나,2025 학년도,1학기,1,조회,['월'],13:30,16:15,PA201,3.0,송민섭,11,,,,,,,"[1, 2, 3, 4]","학석사연계과목,경영대학(가능)"
PHI2003,서양철학사,2025 학년도,1학기,1,조회,['화'],10:30,13:15,K212,3.0,강선형,31,,,,,,,"[1, 2, 3, 4]",
PHI2004,한국철학사,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,J102,3.0,"Kim, Halla",28,O,,,,,,"[1, 2, 3, 4]",
PHI2005,논리학개론,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,J102,3.0,오은영,67,,,,,,,"[1, 2, 3, 4]",
PHI2008,윤리학,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,J311,3.0,이상섭,35,,,,,,,"[1, 2, 3, 4]",
PHI3023,분석철학,2025 학년도,1학기,1,조회,"['화', '목']",16:30,17:45,J215,3.0,서상복,40,,,,,,,"[2, 3, 4]",
PHI3026,심리철학,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,J327,3.0,김준걸,27,O,,,,,,"[2, 3, 4]",
PHI3033,"선진,한철학사",2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,J307,3.0,류희성,5,,,,,,,"[2, 3, 4]",
PHI3036,근현대중국철학사2,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,J202,3.0,류희성,19,,,,,,,"[2, 3, 4]",
